Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
QIris: Quantum Implementation of&#xa0;Rainbow Table Attacks,Information Systems Security,,,,10.1007/978-3-031-80020-7_12,Lee Jun QuanTan Jia YeGoh Geok LingVivek Balachandran,2025,https://link.springer.com/chapter/10.1007/978-3-031-80020-7_12,Conference paper
Leveraging MLIR for&#xa0;Loop Vectorization and&#xa0;GPU Porting of&#xa0;FFT Libraries,Euro-Par 2023: Parallel Processing Workshops,,,,10.1007/978-3-031-50684-0_16,Yifei HeArtur PodobasStefano Markidis,2024,https://link.springer.com/chapter/10.1007/978-3-031-50684-0_16,Conference paper
Resorbable Polymer-Based Additive Manufacturing Techniques for Bioimplants,Resorbable Polymers for Bioimplants and Fixation Devices,,,,10.1007/978-981-96-9306-1_10,Revathi DevulapalliSubhasree PandaS. K. Khadheer Pasha,2025,https://link.springer.com/chapter/10.1007/978-981-96-9306-1_10,Chapter
Designing Cloud-Friendly HPC Applications,High Performance Computing in Clouds,,,,10.1007/978-3-031-29769-4_6,Rodrigo da Rosa RighiGuilherme GalanteVinicius Facco RodriguesHeonyoung YeomHarald KoestlerMadhusudan SinghGuann-Pyng Li,2023,https://link.springer.com/chapter/10.1007/978-3-031-29769-4_6,Chapter
Extending parallel programming patterns with adaptability features,Cluster Computing,,,,10.1007/s10586-024-04622-0,Guilherme GalanteRodrigo da Rosa RighiCristiane de Andrade,2024,https://link.springer.com/article/10.1007/s10586-024-04622-0,Article
A survey on fully homomorphic encryption compilers,Cybersecurity,,,,10.1186/s42400-026-00641-z,Zhuoyu TianShengyu FanXianglong DengRui HouDan MengMingzhe Zhang,2026,https://link.springer.com/article/10.1186/s42400-026-00641-z,Article
A comprehensive review of mechanical and durability properties of magnesium slag as a building material,Discover Mechanical Engineering,,,,10.1007/s44245-026-00338-0,Tuğba Özdemir MazlumNihat Atmaca,2026,https://link.springer.com/article/10.1007/s44245-026-00338-0,Article
Verifying Solidity Smart Contracts via Communication Abstraction in SmartACE,"Verification, Model Checking, and Abstract Interpretation",,,,10.1007/978-3-030-94583-1_21,Scott WesleyMaria ChristakisJorge A. NavasRichard TreflerValentin WüstholzArie Gurfinkel,2022,https://link.springer.com/chapter/10.1007/978-3-030-94583-1_21,Conference paper
LiSA: A Generic Framework for&#xa0;Multilanguage Static Analysis,Challenges of Software Verification,,,,10.1007/978-981-19-9601-6_2,Luca NegriniPietro FerraraVincenzo ArceriAgostino Cortesi,2023,https://link.springer.com/chapter/10.1007/978-981-19-9601-6_2,Chapter
Polycyclic Aromatic Hydrocarbon,Encyclopedia of Astrobiology,,,,10.1007/978-3-662-65093-6_1250,Els PeetersJan Cami,2023,https://link.springer.com/rwe/10.1007/978-3-662-65093-6_1250,Reference work entry
"Homomorphic Encryption Library, Framework, Toolkit and Accelerator: A Review",SN Computer Science,,,,10.1007/s42979-023-02316-9,Shalini DhimanGanesh Kumar MahatoSwarnendu Kumar Chakraborty,2023,https://link.springer.com/article/10.1007/s42979-023-02316-9,Article
A Mobile-edge Smart-city Dashboard for AI-completed LiDAR Building Stocks: Normative-anchored Sustainability Triage Under a 300&#xa0;KB Payload,Mobile Networks and Applications,,,,10.1007/s11036-026-02534-4,Annamária BehúnováVladislav VavrákMatúš PohorenecMarcel Behún,2026,https://link.springer.com/article/10.1007/s11036-026-02534-4,Article
Advanced applications of generative AI in actuarial science: case studies beyond ChatGPT,European Actuarial Journal,,,,10.1007/s13385-026-00464-9,Simon HatzesbergerIris Nonneman,2026,https://link.springer.com/article/10.1007/s13385-026-00464-9,Article
Quantum-classical adaptive autoencoding of time-series signals for secure biometric authentication,Quantum Machine Intelligence,,,,10.1007/s42484-026-00417-1,Sandip DuttaBiswajit BasuSoumen RoyUtpal Roy,2026,https://link.springer.com/article/10.1007/s42484-026-00417-1,Article
GPU Code Generation of&#xa0;Cardiac Electrophysiology Simulation with&#xa0;MLIR,Euro-Par 2023: Parallel Processing,,,,10.1007/978-3-031-39698-4_37,Tiago Trevisan JostArun ThangamaniRaphaël ColinVincent LoechnerStéphane GenaudBérenger Bramas,2023,https://link.springer.com/chapter/10.1007/978-3-031-39698-4_37,Conference paper
Lignin Depolymerization for Its Valorization,BioEnergy Research,,,,10.1007/s12155-022-10561-8,Dixita ChettriShadab AhmedAnoop Anand MalikAnil Kumar Verma,2023,https://link.springer.com/article/10.1007/s12155-022-10561-8,Article
Challenges in Quantum Programs Analysis,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-026-00845-1,Nicola AssoliniAlessandra Di PierroIsabella Mastroeni,2026,https://link.springer.com/article/10.1007/s10009-026-00845-1,Article
Preventing Privacy-Violating Information Flows in&#xa0;JavaScript Applications Using Dynamic Labelling,Information Systems Security,,,,10.1007/978-3-031-23690-7_12,Sandip GhosalR. K. Shyamasundar,2022,https://link.springer.com/chapter/10.1007/978-3-031-23690-7_12,Conference paper
Quantum kernel anomaly detection: a fidelity-based framework for robust behavioral biometric authentication,The Journal of Supercomputing,,,,10.1007/s11227-026-08300-3,Sandip DuttaSoumen RoyUtpal Roy,2026,https://link.springer.com/article/10.1007/s11227-026-08300-3,Article
Optimized production of Tb-155 by mass separation using Ta-based target materials at the CERN-MEDICIS facility,The European Physical Journal Plus,,,,10.1140/epjp/s13360-026-08277-1,Patricija KalninaCharlotte DucheminEdgars MamisElodie AubertNadine ConanMatthieu DeschampsAlexandre DorsivalLaura LambertElina PajusteRalf Erik RosselThierry StoraJoachim VollaireJulie Zucchi,2026,https://link.springer.com/article/10.1140/epjp/s13360-026-08277-1,Article
The quantum Rock-Paper-Scissors-Lizard-Spock Show,Quantum Information Processing,,,,10.1007/s11128-026-05052-0,Bharath ManchikodiNishita Manohar HoseaP. C. Deshmukh,2026,https://link.springer.com/article/10.1007/s11128-026-05052-0,Article
Evaluating few-shot and contrastive learning methods for code clone detection,Empirical Software Engineering,,,,10.1007/s10664-024-10441-z,Mohamad KhajezadeFatemeh H. FardMohamed S. Shehata,2024,https://link.springer.com/article/10.1007/s10664-024-10441-z,Article
Quantum Testing and Validation,Design Automation for Quantum Computing,,,,10.1007/978-3-032-09303-5_9,Aruna JayasenaEmma AndrewsPrabhat Mishra,2026,https://link.springer.com/chapter/10.1007/978-3-032-09303-5_9,Chapter
A Neuro-Computational Architecture Taxonomy to&#xa0;Bridge Biological and&#xa0;Artificial Intelligence,Biologically Inspired Cognitive Architectures 2025,,,,10.1007/978-3-032-13977-1_10,Salvatore DistefanoMax Talanov,2026,https://link.springer.com/chapter/10.1007/978-3-032-13977-1_10,Conference paper
Quantum-Inspired Clustering Techniques for&#xa0;Malware Detection in&#xa0;Supply Chain Networks,"Distributed Computing, HPC, Cloud Computing, Quantum Technologies, Embedded Systems, Modeling, and Simulation",,,,10.1007/978-3-032-22193-3_12,Vishal H. KothavadeSthefanie J. G. PassoJohn J. Prevost,2026,https://link.springer.com/chapter/10.1007/978-3-032-22193-3_12,Conference paper
On LLM–Assisted Generation of&#xa0;Smart Contracts from&#xa0;Business Processes,Business Process Management Workshops,,,,10.1007/978-3-032-13426-4_24,Fabian StiehleHans WeytjensIngo Weber,2026,https://link.springer.com/chapter/10.1007/978-3-032-13426-4_24,Conference paper
Mimosa: A Language for&#xa0;Asynchronous Implementation of&#xa0;Embedded Systems Software,Coordination Models and Languages,,,,10.1007/978-3-031-95589-1_5,Nikolaus HuberSusanne GrafPhilipp RümmerWang Yi,2025,https://link.springer.com/chapter/10.1007/978-3-031-95589-1_5,Conference paper
Bug Classification in quantum software: a rule-based framework and its evaluation,Automated Software Engineering,,,,10.1007/s10515-025-00585-7,Mir Mohammad YousufShabir Ahmad Sofi,2025,https://link.springer.com/article/10.1007/s10515-025-00585-7,Article
Encapsulation of Protein-Based Drug Carriers for Controlled Loading and Releasing Efficiency: A Review,The Protein Journal,,,,10.1007/s10930-026-10346-4,Mahadesh Chandro MondalH. M. Wasi UddinSania AshrafiSadit Bihongo MalithaSuzzudul Islam ShuvoTasfik Saif,2026,https://link.springer.com/article/10.1007/s10930-026-10346-4,Article
Towards Efficient HW Acceleration in&#xa0;Edge-Cloud Infrastructures: The SERRANO Approach,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-04580-6_24,Aggelos FerikoglouIoannis OroutzoglouArgyris KokkinisDimitrios DanopoulosDimosthenis MasourosEfthymios ChondrogiannisAitor Fernández GómezAristotelis KretsisPanagiotis KokkinosEmmanouel VarvarigosKostas Siozios,2022,https://link.springer.com/chapter/10.1007/978-3-031-04580-6_24,Conference paper
Prophylactic para-aortic irradiation vs pelvic radiotherapy in pelvic node-positive carcinoma cervix in the setting of concurrent chemoradiation: a phase II open-label multi centric randomized controlled trial (PRO-PARA),Trials,,,,10.1186/s13063-026-09618-2,Tapesh BhattacharyyaBhavana RaiSantam ChakrabortySrinivas GYShirley Lewis ChristabelPritanjali SinghAnurupa MahataSamar MandalGaurav TrivediSreekripa RaoAnkita MehtaOindrila RoychowdhurySougata Maity,2026,https://link.springer.com/article/10.1186/s13063-026-09618-2,Article
Leveraging HW Approximation for Exploiting Performance-Energy Trade-offs Within the Edge-Cloud Computing Continuum,High Performance Computing,,,,10.1007/978-3-030-90539-2_27,Argyris KokkinisAggelos FerikoglouDimitrios DanopoulosDimosthenis MasourosKostas Siozios,2021,https://link.springer.com/chapter/10.1007/978-3-030-90539-2_27,Conference paper
Automatic Approximation of Computer Systems Through Multi-objective Optimization,Design and Applications of Emerging Computer Systems,,,,10.1007/978-3-031-42478-6_15,Mario BarbareschiSalvatore BaroneAlberto BosioMarcello Traiola,2024,https://link.springer.com/chapter/10.1007/978-3-031-42478-6_15,Chapter
Sustainable Utilization of Industrial Sludge in the Construction Industry,Recent Trends in Management and Utilization of Industrial Sludge,,,,10.1007/978-3-031-58456-5_8,DeepikaSamritiGeetika SharmaHarpal KaurShiv KumarPooja Chadha,2024,https://link.springer.com/chapter/10.1007/978-3-031-58456-5_8,Chapter
Accelerator Design with High-Level Synthesis,Handbook of Computer Architecture,,,,10.1007/978-981-15-6401-7_19-1,Christian PilatoStephanie Soldavini,2022,https://link.springer.com/rwe/10.1007/978-981-15-6401-7_19-1,Living reference work entry
Programming Paradigms for&#xa0;the&#xa0;Cloud Continuum,Advanced Information Networking and Applications,,,,10.1007/978-3-031-28694-0_14,Geir HornBeniamino Di MartinoSalvatore D’AngeloAntonio Esposito,2023,https://link.springer.com/chapter/10.1007/978-3-031-28694-0_14,Conference paper
MetaOCaml: Ten Years Later,Functional and Logic Programming,,,,10.1007/978-981-97-2300-3_12,Oleg Kiselyov,2024,https://link.springer.com/chapter/10.1007/978-981-97-2300-3_12,Conference paper
A communication subspace relays context-dependent actions from human prefrontal to motor cortex,Nature Neuroscience,,,,10.1038/s41593-026-02290-4,Neha BinishJonas TerlauJan MartiniJack J. LinRobert T. KnightRandolph F. Helfrich,2026,https://link.springer.com/article/10.1038/s41593-026-02290-4,Article
Compact dusty starbursts at cosmic noon linked to high-energy neutrinos,Nature Astronomy,,,,10.1038/s41550-026-02884-9,Yuji UrataKuiyun HuangBunyo HatsukadeMansi KasliwalShigeo S. KimuraYuichi MatsudaYusuke MiyamotoHiroshi NagaiKouichiro NakanishiRobert Stein,2026,https://link.springer.com/article/10.1038/s41550-026-02884-9,Article
Reliability-aware compressive-strength prediction and inverse mix design of fly ash–GGBFS geopolymer concrete via conformal prediction,International Journal of Material Forming,,,,10.1007/s12289-026-02054-2,Gaurav JagadAmit Thoriya,2026,https://link.springer.com/article/10.1007/s12289-026-02054-2,Article
Integration of multi agent reinforcement learning with golden jackal optimization for predicting average localization error in wireless sensor networks,Scientific Reports,,,,10.1038/s41598-025-13053-9,K. Lakshmi PrabhaHanan Abdullah MengashHamed AlqahtaniRanda Allafi,2025,https://link.springer.com/article/10.1038/s41598-025-13053-9,Article
A compression-based memory-efficient optimization for out-of-core GPU stencil computation,The Journal of Supercomputing,,,,10.1007/s11227-023-05103-8,Jingcheng ShenLinbo LongXin DengMasao OkitaFumihiko Ino,2023,https://link.springer.com/article/10.1007/s11227-023-05103-8,Article
Finding Reusable Machine Learning Components to&#xa0;Build Programming Language Processing Pipelines,Software Architecture. ECSA 2022 Tracks and Workshops,,,,10.1007/978-3-031-36889-9_27,Patrick FlynnTristan VanderbruggenChunhua LiaoPei-Hung LinMurali EmaniXipeng Shen,2023,https://link.springer.com/chapter/10.1007/978-3-031-36889-9_27,Conference paper
"Scopes, Functions, and&#xa0;Parameter Passing",Programming Language Design and Implementation,,,,10.1007/978-3-031-93299-1_5,Torben Ægidius Mogensen,2026,https://link.springer.com/chapter/10.1007/978-3-031-93299-1_5,Chapter
CoDescribe: An Intelligent Code Analyst for&#xa0;Enhancing Productivity and&#xa0;Software Quality,Applied Computing for Software and Smart Systems,,,,10.1007/978-981-99-7783-3_11,Souvick DasNovarun DebAgostino CortesiNabendu Chaki,2023,https://link.springer.com/chapter/10.1007/978-981-99-7783-3_11,Conference paper
Refactoring for Performance with Semantic Patching: Case Study with Recipes,High Performance Computing,,,,10.1007/978-3-030-90539-2_15,Michele MartoneJulia Lawall,2021,https://link.springer.com/chapter/10.1007/978-3-030-90539-2_15,Conference paper
Assessment of fly ash and ceramic powder incorporated concrete with steam-treated recycled concrete aggregates prioritising nano-silica,Emergent Materials,,,,10.1007/s42247-024-00639-8,Asha Uday RaoPrathibha P. ShettyRadhika Bhandary PAdithya TantriBlesson S.Subhash C. Yaragal,2024,https://link.springer.com/article/10.1007/s42247-024-00639-8,Article
German Text Simplification Models,"Automatic German Text Simplification: Data, Evaluation, and Models",,,,10.57088/978-3-7329-8700-9_6,Regina Stodden,2026,https://link.springer.com/chapter/10.57088/978-3-7329-8700-9_6,Chapter
"Performance Analysis of SWIPT-Enabled Two-Way Relaying Networks under <span class=""mathjax-tex"">\(\eta -\mu\)</span> Fading",Wireless Personal Communications,,,,10.1007/s11277-026-12061-w,Suryanarayan SahooRaghwendra Kishore SinghNagendra KumarAmit Chatterjee,2026,https://link.springer.com/article/10.1007/s11277-026-12061-w,Article
The Role of JavaScript in Modern Web Development,Beginning JavaScript Syntax,,,,10.1007/979-8-8688-1460-0_5,Sonu Kapoor,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1460-0_5,Chapter
Charon: An Analysis Framework for&#xa0;Rust,Computer Aided Verification,,,,10.1007/978-3-031-98685-7_18,Son HoGuillaume BoisseauLucas FranceschinoYoann PrakAymeric FromherzJonathan Protzenko,2025,https://link.springer.com/chapter/10.1007/978-3-031-98685-7_18,Conference paper
Towards Blockchain Like SOA,Web Information Systems Engineering – WISE 2024,,,,10.1007/978-981-96-0570-5_22,Wafa Ben Slama SoueiBenoit CharrouxLayth SlimanRaoudha Ben Djemaa,2025,https://link.springer.com/chapter/10.1007/978-981-96-0570-5_22,Conference paper
Quantum System on Chips,SOC-Based Solutions in Emerging Application Domains,,,,10.1007/978-3-031-85044-8_8,Veena S. ChakravarthiShivananda R. Koteshwar,2025,https://link.springer.com/chapter/10.1007/978-3-031-85044-8_8,Chapter
SoK: Towards Reproducibility for&#xa0;Software Packages in&#xa0;Scripting Language Ecosystems,"Availability, Reliability and Security",,,,10.1007/978-3-032-00627-1_11,Timo PohlPavel NovákMarc OhmMichael Meier,2025,https://link.springer.com/chapter/10.1007/978-3-032-00627-1_11,Conference paper
Suicidal Behavior in Central Asian Region,Suicidal Behavior in Muslim Majority Countries,,,,10.1007/978-981-97-2519-9_5,Erlan Bakiev,2024,https://link.springer.com/chapter/10.1007/978-981-97-2519-9_5,Chapter
Text data mining on current newspaper articles from the United States with ProQuest TDM Studio,Publizistik,,,,10.1007/s11616-023-00805-8,Jens Pohlmann,2023,https://link.springer.com/article/10.1007/s11616-023-00805-8,Article
Challenges in Corpus Construction for Thai-English Machine Translation,Intelligent Computing & Optimization,,,,10.1007/978-3-031-19958-5_42,Séamus Lyons,2023,https://link.springer.com/chapter/10.1007/978-3-031-19958-5_42,Conference paper
What Do HPC Applications Look Like?,High Performance Computing in Clouds,,,,10.1007/978-3-031-29769-4_3,Claude Tadonki,2023,https://link.springer.com/chapter/10.1007/978-3-031-29769-4_3,Chapter
Automated Synthesis of&#xa0;Software Contracts with&#xa0;KindSpec,"Analysis, Verification and Transformation for Declarative Programming and Intelligent Systems",,,,10.1007/978-3-031-31476-6_3,María AlpuenteAlicia Villanueva,2023,https://link.springer.com/chapter/10.1007/978-3-031-31476-6_3,Chapter
Designing quantum blockchain system integrated with 6G network,Journal of King Saud University Computer and Information Sciences,,,,10.1016/j.jksuci.2023.101847,Rakesh SainiAbhiprada BeraBikash K. BeheraEmad A. AhmedMona JamjoomAhmed Farouk,2023,https://link.springer.com/article/10.1016/j.jksuci.2023.101847,Article
Social performance and impact assessment of an autonomous system in the meat processing sector,The International Journal of Life Cycle Assessment,,,,10.1007/s11367-023-02256-9,Clara ValenteRannvá DanielsenAnna WoodhouseFredrik Moltu JohnsenEllen-Marie Forsberg,2023,https://link.springer.com/article/10.1007/s11367-023-02256-9,Article
Sociological Knowledge,African Societies,,,,10.1007/978-3-031-57394-1_3,R. Sooryamoorthy,2024,https://link.springer.com/chapter/10.1007/978-3-031-57394-1_3,Chapter
Extended range Bonner sphere spectrometer for high-elevation neutron measurements,The European Physical Journal Plus,,,,10.1140/epjp/s13360-022-03439-3,A. FontanillaA. CalamidaA. I. Castro CampoyC. CantoneA. PietropaoloJ. M. Gomez-RosV. E. MontiMafucciS. VernettoA. PolaD. BortotR. Bedogni,2022,https://link.springer.com/article/10.1140/epjp/s13360-022-03439-3,Article
"Mathematics teaching, learning, and assessment in the digital age",ZDM – Mathematics Education,,,,10.1007/s11858-024-01612-9,Hans-Georg WeigandJana TrgalovaMichal Tabach,2024,https://link.springer.com/article/10.1007/s11858-024-01612-9,Article
OpenMP offloading data transfer optimization for DCUs,The Journal of Supercomputing,,,,10.1007/s11227-023-05422-w,Hengliang GuoLong ZhangYi ZhangJianan LiXiaoyue XuLu LiuKuangsheng CaiDan WuShuxin YangLingbo KongXu Gao,2023,https://link.springer.com/article/10.1007/s11227-023-05422-w,Article
Point-of-Care Ultrasound Reimbursement and Coding,Ultrasound Program Management,,,,10.1007/978-3-031-86341-7_28,Stanley WuChristopher Thom,2025,https://link.springer.com/chapter/10.1007/978-3-031-86341-7_28,Chapter
"Chronic Obstructive Pulmonary Disease, Obstructive Sleep Apnea, and Heart Failure",Managing Heart Failure in Primary Care: A Case Study Approach,,,,10.1007/978-3-031-20193-6_13,J. Travis DunlapMelissa GlassfordLeslie W. Hopkins,2023,https://link.springer.com/chapter/10.1007/978-3-031-20193-6_13,Chapter
Energy Efficient Software in&#xa0;an&#xa0;Engineering Course,"Composability, Comprehensibility and Correctness of Working Software",,,,10.1007/978-3-031-42833-3_3,João SaraivaRui Pereira,2023,https://link.springer.com/chapter/10.1007/978-3-031-42833-3_3,Conference paper
On a&#xa0;Template Programming Approach for&#xa0;Shared Memory Parallel Architectures with&#xa0;Applications to&#xa0;the&#xa0;Fully Implicit Stokes Solver,Parallel Computational Technologies,,,,10.1007/978-3-031-38864-4_11,N. M. EvstigneevO. I. Ryabkov,2023,https://link.springer.com/chapter/10.1007/978-3-031-38864-4_11,Conference paper
Satisfaction in the Workplace,The Metrics of Happiness,,,,10.1007/978-3-031-10913-3_11,R. Allan Freeze,2022,https://link.springer.com/chapter/10.1007/978-3-031-10913-3_11,Chapter
Methodologies for Designing and Integrating the Semantic Layer,"Bridging Knowledge, Data, and AI",,,,10.1007/978-3-032-17178-8_3,Joseph HilgerLulit TesfayeZachary Wahl,2026,https://link.springer.com/chapter/10.1007/978-3-032-17178-8_3,Chapter
Fast Auto-differentiable Digitally Reconstructed Radiographs for&#xa0;Solving Inverse Problems in&#xa0;Intraoperative Imaging,Clinical Image-Based Procedures,,,,10.1007/978-3-031-23179-7_1,Vivek GopalakrishnanPolina Golland,2023,https://link.springer.com/chapter/10.1007/978-3-031-23179-7_1,Conference paper
EDRA: A Hardware-Assisted Decoupled Access/Execute Framework on&#xa0;the&#xa0;Digital Market,"Embedded Computer Systems: Architectures, Modeling, and Simulation",,,,10.1007/978-3-031-04580-6_21,Dimitris TheodoropoulosAndreas BrokalakisNikolaos AlachiotisDionisios Pnevmatikatos,2022,https://link.springer.com/chapter/10.1007/978-3-031-04580-6_21,Conference paper
Structured prototype regularization for synthetic-to-real driving scene parsing,Science China Information Sciences,,,,10.1007/s11432-025-5039-y,Jiahe FanXiao MaSergey VityazevGeorge GiakosShaolong ShuRui Fan,2026,https://link.springer.com/article/10.1007/s11432-025-5039-y,Article
Biology System Description Language (BiSDL): a modeling language for the design of multicellular synthetic biological systems,BMC Bioinformatics,,,,10.1186/s12859-024-05782-x,Leonardo GiannantoniRoberta BardiniAlessandro SavinoStefano Di Carlo,2024,https://link.springer.com/article/10.1186/s12859-024-05782-x,Article
Scenario-based tsunami hazard assessment for Northeastern Adriatic coasts,Mediterranean Geoscience Reviews,,,,10.1007/s42990-024-00114-w,Antonella PeresanHany M. Hassan,2024,https://link.springer.com/article/10.1007/s42990-024-00114-w,Article
SAC-GAN: Face Image Inpainting with&#xa0;Spatial-Aware Attribute Controllable GAN,Computer Vision – ACCV 2022,,,,10.1007/978-3-031-26293-7_13,Dongmin ChaTaehun KimJoonyeong LeeDajin Kim,2023,https://link.springer.com/chapter/10.1007/978-3-031-26293-7_13,Conference paper
The Role of Cooperation and Tourism in Rural Development—Long-term Research Activities in the Alpujarra of Almería (Spain),Win or Lose in Rural Development,,,,10.1007/978-3-031-48675-3_8,Andreas Voth,2024,https://link.springer.com/chapter/10.1007/978-3-031-48675-3_8,Chapter
Protecting Behavioral IPs During Design Time: Key-Based Obfuscation Techniques for HLS in the Cloud,Behavioral Synthesis for Hardware Security,,,,10.1007/978-3-030-78841-4_5,Hannah BadierJean-Christophe Le LannPhilippe CoussyGuy Gogniat,2022,https://link.springer.com/chapter/10.1007/978-3-030-78841-4_5,Chapter
Port and Maritime Security and Sustainability,Sustainability in the Maritime Domain,,,,10.1007/978-3-030-69325-1_8,Michael Edgerton,2021,https://link.springer.com/chapter/10.1007/978-3-030-69325-1_8,Chapter
A Multi-engine Aspect-Oriented Language with Modeling Integration for Video Game Design,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-030-70006-5_14,Ben J. GeislerShane L. Kavage,2021,https://link.springer.com/chapter/10.1007/978-3-030-70006-5_14,Conference paper
An Analysis of&#xa0;the&#xa0;Security and&#xa0;Privacy Issues of&#xa0;the&#xa0;Neovote Online Voting System,Electronic Voting,,,,10.1007/978-3-031-15911-4_1,Enka BlanchardAntoine GallaisEmmanuel LeblondDjohar Sidhoum-RahalJuliette Walter,2022,https://link.springer.com/chapter/10.1007/978-3-031-15911-4_1,Conference paper
Uncertainty in the Age of Digital Transformation,Employee Uncertainty Over Digital Transformation,,,,10.1007/978-981-99-8409-1_2,Masaki Matsunaga,2024,https://link.springer.com/chapter/10.1007/978-981-99-8409-1_2,Chapter
Quantum-enhanced hybrid-model compression using knowledge distillation,Quantum Machine Intelligence,,,,10.1007/s42484-026-00431-3,Luigi BarbatoMassimo EspositoFrancesco Gargiulo,2026,https://link.springer.com/article/10.1007/s42484-026-00431-3,Article
Evaluation of Reconstruction Practices,International Handbook of Disaster Research,,,,10.1007/978-981-16-8800-3_62-1,Akanchha Singh,2022,https://link.springer.com/rwe/10.1007/978-981-16-8800-3_62-1,Living reference work entry
Distilled documentation for dialect-specific SQL generation,The VLDB Journal,,,,10.1007/s00778-026-00993-5,Till DöhmenAdithya KrishnanHamilton UlmerPeter BonczSebastian Schelter,2026,https://link.springer.com/article/10.1007/s00778-026-00993-5,Article
Graph theory-based automated quantum algorithm for efficient querying of acyclic and multiloop causal configurations,Communications Physics,,,,10.1038/s42005-026-02672-x,Salvador A. Ochoa-OregonJuan P. Uribe-RamírezRoger J. Hernández-PintoSelomit Ramírez-UribeGermán Rodrigo,2026,https://link.springer.com/article/10.1038/s42005-026-02672-x,Article
Evaluation of the applicability of ground motion models (GMMs) for South Korea,Bulletin of Earthquake Engineering,,,,10.1007/s10518-024-01940-x,Hyejin LeeByungmin KimDongyoup Kwak,2024,https://link.springer.com/article/10.1007/s10518-024-01940-x,Article
Analysis of quantum primitives for quantum utility,Quantum Information Processing,,,,10.1007/s11128-026-05201-5,Tae-Won KimByung-Soo Choi,2026,https://link.springer.com/article/10.1007/s11128-026-05201-5,Article
Hybrid quantum–classical learning for MRI-based brain tumour diagnosis,Discover Computing,,,,10.1007/s10791-026-10165-2,A. HarshavardhanV. Chandra Shekhar RaoY. Madhavi ReddySubba Rao PolamuriBhavana JamalpurVuyyuru Lakshma Reddy,2026,https://link.springer.com/article/10.1007/s10791-026-10165-2,Article
Universal blind quantum computation with recursive rotation gates,Quantum Information Processing,,,,10.1007/s11128-026-05188-z,Mohit JoshiManoj Kumar MishraS. Karthikeyan,2026,https://link.springer.com/article/10.1007/s11128-026-05188-z,Article
"A review of quantum machine learning algorithms, applications, and emerging advantages",Discover Computing,,,,10.1007/s10791-026-10085-1,Shreeya Sanjeev GokhaleRishit Ravi DhoteRadhakrishnan Delhibabu,2026,https://link.springer.com/article/10.1007/s10791-026-10085-1,Article
Validation of an analyzability model for quantum software: a family of experiments,Empirical Software Engineering,,,,10.1007/s10664-026-10825-3,Ana Díaz-MuñozJosé A. Cruz-LemusMoisés RodríguezMaria Teresa BaldassarreMario Piattini,2026,https://link.springer.com/article/10.1007/s10664-026-10825-3,Article
Semantic alignment of the German Human Genome-Phenome Archive metadata model in Europe’s genomics field,Scientific Data,,,,10.1038/s41597-026-06575-y,Karoline MauerAnandhi IyappanSimon ParkerBilge SürünGalina TremperPaul MengesLéon KuchenbeckerKoray KirliJoachim L. SchultzeSven NahnsenThomas Ulas,2026,https://link.springer.com/article/10.1038/s41597-026-06575-y,Article
Municipal Wastewater as Potential Bio-refinery,Biorefinery for Water and Wastewater Treatment,,,,10.1007/978-3-031-20822-5_5,Shipra JhaNahid Siddiqui,2023,https://link.springer.com/chapter/10.1007/978-3-031-20822-5_5,Chapter
Zero Carbon Emission Based Electrical Power Plant by Harvesting Oceanic Wave Energy: Minimization of Environmental Impact in Bangladesh,Climate Change and Ocean Renewable Energy,,,,10.1007/978-3-031-26967-7_1,Selim MollaOmar FarrokMohammad Jahangir Alam,2023,https://link.springer.com/chapter/10.1007/978-3-031-26967-7_1,Conference paper
Quantum Computing Architectures,Design Automation for Quantum Computing,,,,10.1007/978-3-032-09303-5_2,Hansika WeerasenaPrabhat Mishra,2026,https://link.springer.com/chapter/10.1007/978-3-032-09303-5_2,Chapter
Approaches for&#xa0;Running WebAssembly Across the&#xa0;Computing Continuum with&#xa0;GPU-Backed TEEs,Advanced Information Networking and Applications,,,,10.1007/978-3-032-23335-6_29,Giovanni MazzeoFernando PannulloLuigi Romano,2026,https://link.springer.com/chapter/10.1007/978-3-032-23335-6_29,Conference paper
Quantum Artificial Intelligence: An Innovation Within the Innovation,Chaos and Complex Systems,,,,10.1007/978-3-032-09101-7_13,P. TzounakisI. E. AntoniouM. P. HaniasS. G. Stavrinides,2026,https://link.springer.com/chapter/10.1007/978-3-032-09101-7_13,Conference paper
Quantum Artificial Intelligence for Protein Structure Prediction,Quantum Informatics for Novel Therapeutics,,,,10.1007/978-3-032-19536-4_5,Don RoosanRubayat Khan,2026,https://link.springer.com/chapter/10.1007/978-3-032-19536-4_5,Chapter
Quantum Simulation Tools: A Comprehensive Survey,"Quantum Computing, Sensing and Communications for IoT",,,,10.1007/978-981-95-6276-3_7,Zenisha DevaniZeel KanudawalaRohan ThakarCharmi PadhHimani Trivedi,2026,https://link.springer.com/chapter/10.1007/978-981-95-6276-3_7,Chapter
